name,field_location_longitude,field_location_latitude
Khilda,35.843,31.996
Rujm Shajarat al Hunayti,35.818,32.031
Khirbat Al Kawm,35.934,32.032
Yajuz,35.917,32.033
Al Marbat,35.883,32.083
Al Hanaaifah,35.9,31.9
Al Hawwasiyah,35.85,31.817
Bayt Zir3ah,35.849,31.828
Ad Duwaykhilah,35.62,30.833
Khirbat Al Qarn,35.619,30.916
Ruwath,35.616,30.711
Ruwath,35.616,30.711
Khirbat al Qarn,35.576,32.354
Khirbat Sharhabeel,35.583,32.4
Khirbat As Sasiyah,35.6,32.6
Al Mashariqah,35.619,32.635
Al Buwayb,36.044,32.564
Tall Habib,35.716,32.297
Ad Dinariyah,35.533,30.258
As Samaqah,35.45,30.1
Ad Da3janiyah,35.721,30.582
Jabal al Jilf,35.434,30.203
Rujm Al Murayjib,35.631,31.626
Khirbat Al Mushrif,36.326,32.295
Abdun,35.887,31.942
Amman,35.945,31.955
Gharisah,36.076,32.188
Al Masarrah,35.933,32.163
Al Awaynah,35.717,30.326
Mawzah,36.033,32.117
As Sawalihah,35.622,32.183
An Naqb,35.617,31.533
Tabarbawr,35.946,31.998
Shunat Nimrin,35.623,31.898
Ayn Khunayzir,35.807,32.088
Khirbat Abu Najrah,35.576,32.202
Naqb Ar Ruba3i,35.389,30.314
Khirbat Al Dier,35.8,31
Al Hummar,35.82,32.014
Khirbat Madinat Ar Raas,35.587,31.052
Khirbat ِl Kannar,35.727,31.191
Al Mazarib,35.667,31.233
Az Zarraah,35.767,31.233
Khirbat Zabbubah,35.665,31.241
Khirbat Assaf,35.861,32.001
Suwaylih,35.84,32.024
Um Al Sommaq,,
Sumyia,35.767,31.817
Al Haddadah,35.933,31.983
Mohammed Salih,35.567,32.517
Khirbat Al Kawm,35.896,32.33
Al Muh7,36,32.517
Khirbat Ash Shawahid,35.891,32.309
Jabal Bastah,35.534,30.227
Qulban Bani Murrah,37.251,30.076
An Nuwayqah,35.467,30.183
Khirbat al Maghar,35.467,30.283
Al Buqah,35.521,30.477
Khirbat as Samraa,35.637,30.583
Zumaylat Tur Al Mujaddirin,35.67,31.616
Khirbat As Safraa,35.667,31.647
Al Mukayfitah Ash Sharqiyah,36.665,32.29
Qusayb,35.633,31.5
Khirbat al Qasr,35.76,32.048
Askan Al Minaa,35.005,29.509
Tall Al Khulayfah,34.983,29.55
Tall Al Khalifah,35.002,29.557
Maqta3 Ruaus Al Manja3ah,35.25,30.383
Al Mantarah,35.741,31.027
Al Umyan,35.641,31.164
Urjan Al Sharqiyah,35.921,31.983
Khirbat Al Qabw,35.702,32.648
Iraq Al 3abd,36.017,32.533
Bir At Tafi,35.555,30.434
Al Kur,35.5,30.467
Khirbt An Nilah,35.652,32.269
Al Khuraybah,35.555,30.572
Al Halq,35.717,31.5
Ar Rusayfah,36.043,32.016
Awjan Ash Sharqi,36.079,32.027
